season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,log_enrollment,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,fit_set,holdout,score_source
2024,McKinley Technology,11,266,M,15,7,-1.0426615741825,-0.46097702278789937,0.5816845513946007,1076.38,1232.35,McKinley Technology,public,0,620,McKinley Technology;McKinley Tech;McKinley Tec;McKinley Tech High School;McKinley Technology High,6.429719478039138,-0.22151529826120192,0.824189123860389,1.045704422121591,12.0,301.0,True,False,posted_team_table
2024,National Cathedral,3,24,,21,7,-0.83269273245963,-0.47432850508572993,0.3583642273739001,1132.68,1228.77,National Cathedral,private,0,490,National Cathedral;National Cat,6.194405391104672,,,,,,False,False,reconstructed_from_individuals
2023,Phelps Career,13,325,M,6,6,-0.5226340898562709,2.742781496213973,3.265415586070244,1095.44,1699.9,Phelps Career,public,0,300,Phelps Career;Phelps Caree;Phelps Career High School,5.703782474656201,,,,,,False,False,posted_team_table
2019,School Without Walls,8,210,M,5,5,-0.4255051758822835,0.8963050786982485,1.321810254580532,1107.67,1267.13,School Without Walls,public,0,590,School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H,6.380122536899765,,,,,,False,False,posted_team_table
2023,School Without Walls,10,290,M,5,5,-0.08727055532726871,0.40249316275685354,0.4897637180841222,1176.03,1266.69,School Without Walls,public,0,590,School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H,6.380122536899765,-0.4255051758822835,0.8963050786982485,1.321810254580532,8.0,210.0,True,False,posted_team_table
2024,School Without Walls,6,39,,13,7,-1.0783525478110594,-0.5919185153791952,0.4864340324318642,1066.81,1197.24,School Without Walls,public,0,590,School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H,6.380122536899765,-0.08727055532726871,0.40249316275685354,0.4897637180841222,10.0,290.0,True,False,reconstructed_from_individuals
2025,School Without Walls,7,176,M,6,6,-0.9378846986094863,-0.44267931850845366,0.49520538010103266,1013.26,1096.34,School Without Walls,public,0,590,School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H,6.380122536899765,-1.0783525478110594,-0.5919185153791952,0.4864340324318642,6.0,39.0,False,True,posted_team_table
2019,Sidwell Friends,4,88,M,7,7,-1.203123512657649,-0.40594245042881605,0.7971810622288329,1013.86,1110.03,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,,,,,,False,False,posted_team_table
2021,Sidwell Friends,5,95,M,6,6,-0.9038268172584095,-0.3005323474994807,0.6032944697589289,991.07,1149.94,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,-1.203123512657649,-0.40594245042881605,0.7971810622288329,4.0,88.0,True,False,posted_team_table
2022,Sidwell Friends,5,124,,6,6,-1.0868493045589747,-0.30468521265598,0.7821640919029946,1076.7,1186.6,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,-0.9038268172584095,-0.3005323474994807,0.6032944697589289,5.0,95.0,True,False,reconstructed_from_individuals
